date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2024-01-12|09:45:26|custom fans|Jabba Services|2590
2024-04-17|10:20:22|computers|John|2000
2024-05-02|10:51:16|Invoice 800|Kohls|2000
2024-05-02|12:03:05|Order for jeff|Jeff PHD|2000
2024-05-02|23:50:32|Wool|Amazon|2000
2024-05-03|01:01:31|Birds Payment|AfroWorld|2000
2024-05-03|01:03:26|Shoes|MJ|200000
2024-05-03|01:19:13|||0
2024-05-03|01:19:24|||0
2024-05-03|01:23:56|||0
2024-05-03|01:25:22|||0
2024-05-03|01:25:26|||0
2024-05-03|01:25:31|||0
2024-05-03|01:28:26|||0
2024-05-03|01:28:45|||0
2024-05-03|01:32:33|||0
